149,TV Show,HQ Barbers,September 1 2021,2020,R,1 Season,When a family run barber shop in the heart of Lagos is threatened by real estate developers theyll do whatever it takes to stay in business.
150,Movie,I Got the Hook Up,September 1 2021,1998,R,93 min,After getting their hands on a misdirected shipment of cell phones two hustlers try to cash in by hawking the merchandise from the back of their van.
151,Movie,In Too Deep,September 1 2021,1999,TV-14,97 min,Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery intimidation and murder.
152,Movie,Initial D,September 1 2021,2005,TV-MA,109 min,By day an 18-year-old delivers tofu for his father a retired race car driver but by night its the teens turn to take the wheel.
153,Movie,Janoskians Untold and Untrue,September 1 2021,2016,TV-Y,88 min,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
154,TV Show,Kid-E-Cats,September 1 2021,2016,TV-MA,2 Seasons,Cookie Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning.
155,TV Show,Kurokos Basketball,September 1 2021,2015,PG,3 Seasons,Five middle school basketball stars went to separate high schools and now Tetsuya Kuroko and Seirin High are making their play for glory.
156,Movie,Labyrinth,September 1 2021,1986,PG,101 min,In Jim Hensons fantasy teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.
157,Movie,Letters to Juliet,September 1 2021,2010,TV-14,105 min,By responding to a letter addressed to Shakespeares tragic heroine Juliet Capulet an American woman in Verona Italy is led in search of romance.
158,Movie,Level 16,September 1 2021,2018,PG-13,102 min,In a bleak academy that teaches girls the virtues of passivity two students uncover the ghastly purpose behind their training and resolve to escape.
159,Movie,Love Dont Cost a Thing,September 1 2021,2003,TV-MA,101 min,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
160,Movie,Love in a Puff,September 1 2021,2010,TV-PG,103 min,When the Hong Kong government enacts a ban on smoking cigarettes indoors the new law drives hard-core smokers outside facilitating unlikely connections.
161,TV Show,Major Dad,September 1 2021,1992,PG-13,4 Seasons,When he marries a journalist and becomes stepdad to her daughters a U.S. Marine finds his once-orderly life no longer entirely under his command.
162,Movie,Mars Attacks!,September 1 2021,1996,PG-13,106 min,As flying saucers head for Earth the president of the United States prepares to welcome alien visitors but soon learns theyre not coming in peace.
163,Movie,Marshall,September 1 2021,2017,R,118 min,This biopic of Thurgood Marshall the first Black U.S. Supreme Court justice centers on his pivotal work in a sensational case as an NAACP lawyer.
