84,Funke Akindele Ayo Makun Chioma Chukwuka Akpotha Yemi Eberechi Alade Blossom Chukwujekwu Deyemi Okanlawon Alexx Ekubo Zubby Michael Tina Mba Femi Jacobs
85,Ikue Otani Sarah Natochenny Zeno Robinson Cherami Leigh James Carter Cathcart Michele Knotz Rodger Parsons Ray Chase Casey Mongillo Tara Sands
86,David Kross Hanno Koffler Maria Ehrich Robert Finster Yung Ngo Klaus Steinbacher Livia Matthes Nellie Thalbach
87,Jeon Hae-ri Kim Eun-ah Hong Bum-ki Nam Do-hyeong Um Sang-hyun
88,Malcolm X Muhammad Ali
89,Julie Tejwani Sabina Malik Jigna Bhardwaj Rupa Bhimani Lalit Agarwal Rajesh Shukla Rajesh Kava
90,Emma Roberts Danielle Macdonald Awkwafina Eiza González Milla Jovovich Jeremy Irvine Arnaud Valois Daniel Horvath
91,
92,Pauline Etienne Laurent Capelluto Stefano Cassetti Mehmet Kurtuluş Babetida Sadjo Jan Bijvoet Ksawery Szlenkier Vincent Londez Regina Bikkinina Alba Gaïa Kraghede Bellugi Nabil Mallat
93,Elsa Öhrn Mustapha Aarab Jonay Pineda Skallak Magnus Krepper Loreen Albin Grenholm Simon Mezher Elsa Bergström Terent Josef Kadim Yohannes Frezgi
94,Will Arnett Ludacris Natasha Lyonne Stanley Tucci Jordin Sparks Gabriel Iglesias Shaquille O'Neal Omar Chaparro Alan Cumming Andy Beckwith Delia Sheppard Kerry Shale
95,Michelle Buteau
96,Ronnie Van Zandt Gary Rossington Allen Collins Leon Wilkeson Bob Burns Billy Powell Ed King Artimus Pyle Steve Gaines Johnny Van Zant
97,Jack Fisher Tom Kenny Amanda C. Miller Kim Yarbrough Keith Ferguson Grey Griffin Lily Rose Silver
98,Antonio Aakeel Chipo Chung Simon Foster Teresa Gallagher Simon Greenall Kate Harbour Paul Panting Rob Rackstraw William Vanderpuye Helen Walsh Keith Wickham Andres Williams Jo Wyatt
99,Julie Delpy Elisabeth Shue Sarah Jones Alexia Landeau Mathieu Demy Troy Garity Timm Sharp Giovanni Ribisi
100,Austin Abell Travis Turner Cole Howard Anna Cummer Jesse Inocalla Brian Dobson Michael Adamthwaite Joseph Girgis Caitlyn Bairstow
101,
102,
103,Jide Kosoko Omotola Jalade-Ekeinde Yemi Blaq Sola Sobowale Ken Erics Toyin Aimakhu Segun Arinze Jibola Dabo Rotimi Salami Pa Jimi Solanke Rachael Okonkwo Bassey Okon Lucien Morgan Magdalena Korpas
104,Robyn Slade Kami Desilets
105,Antony Varghese Reshma Rajan Binny Rinky Benjamin Vineeth Vishwam Kichu Tellus Sreekanth Dasan Sarath Kumar Tito Wilson Anandhu Bitto Davis Sinoj Varghese
106,Peyton List Karan Brar Skai Jackson Miranda May Kevin G. Quinn Nathan Arenas Nina Lu
107,Mandy Grace David de Vos Donna Rusch Devan Key Isabella Mancuso Ariana Guido
